,Subject,Condition,Rep,Primitives,LAP,VAF,Bins,Dance_Years
0,1,C_F_C,1,9,249922.0427973362,99.34804383958752,22,16.0
1,1,C_F_C,2,11,259025.46245096176,99.2523859786733,22,16.0
2,1,C_F_C,3,9,263296.5474089785,99.2107207064168,24,16.0
3,1,C_F_F,1,9,197765.4312841721,99.22759400428792,24,16.0
4,1,C_F_F,2,9,213692.38898260173,99.31049495735978,24,16.0
5,1,C_F_F,3,9,205243.61197918092,99.30443012466571,24,16.0
6,1,C_T_Q,1,7,154738.29475163587,99.10173926658912,26,16.0
7,1,C_T_Q,2,15,161586.03510397213,99.6049988053658,26,16.0
8,1,C_T_Q,3,9,169863.69307681097,99.29764185821725,20,16.0
9,1,C_T_S,1,16,283138.40584332467,99.2287839905416,24,16.0
10,1,C_T_S,2,9,262013.69357814643,99.2494380027426,26,16.0
11,1,C_T_S,3,15,250424.2530436934,99.21959325124064,24,16.0
12,1,I,1,7,158019.41619799467,98.5963139753962,30,16.0
13,1,I,2,6,174873.39731237327,99.54195319117778,36,16.0
14,1,I,3,8,172506.9414289766,98.88133676902542,26,16.0
15,1,N,1,10,228893.6897492856,99.2815424660732,24,16.0
16,1,N,2,9,223031.939350332,99.3211099168386,24,16.0
17,1,N,3,9,231610.8350535586,99.27325875744872,24,16.0
18,2,C_F_C,1,7,198153.11330459145,98.93123244887072,34,15.0
19,2,C_F_C,2,9,201946.79651482936,99.08756346945404,24,15.0
20,2,C_F_C,3,7,202263.36840478607,98.69722269134142,34,15.0
21,2,C_F_F,1,8,182554.1910673512,98.47325321885762,30,15.0
22,2,C_F_F,2,11,203725.6186135768,98.81968388877034,24,15.0
23,2,C_F_F,3,8,193166.52993145573,98.69160971699328,30,15.0
24,2,C_T_Q,1,8,139590.36461194072,99.304879314417,24,15.0
25,2,C_T_Q,2,7,145009.29452563802,99.3653204226117,34,15.0
26,2,C_T_Q,3,8,145211.57721302012,99.22511097651648,26,15.0
27,2,C_T_S,1,9,287191.4302995691,98.48123390159653,40,15.0
28,2,C_T_S,2,11,293014.3230455435,98.91596706763298,36,15.0
29,2,C_T_S,3,8,262961.9343532375,98.12415887863725,36,15.0
30,2,I,1,8,166503.82149280678,98.76426476974676,24,15.0
31,2,I,2,6,166228.1251463896,98.87534070153072,38,15.0
32,2,I,3,7,162064.14705946948,99.21301841744868,32,15.0
33,2,N,1,10,222018.89279413573,99.2107718974704,22,15.0
34,2,N,2,10,215060.1857052178,99.41304275016503,24,15.0
35,2,N,3,11,202318.754794807,99.0597485527353,22,15.0
36,3,C_F_C,1,6,193937.39376942068,99.60560365202464,30,14.0
37,3,C_F_C,2,6,208282.14007533767,99.638298283412,32,14.0
38,3,C_F_C,3,6,215636.09717765503,99.59199166467776,30,14.0
39,3,C_F_F,1,9,177962.53790437224,99.39659381795757,24,14.0
40,3,C_F_F,2,7,174713.56330697256,99.4320831505568,28,14.0
41,3,C_F_F,3,6,194404.99490243863,99.54976033401633,32,14.0
42,3,C_T_Q,1,9,151264.7307278624,99.65575144412855,22,14.0
43,3,C_T_Q,2,9,163567.23180792254,99.5136563195081,18,14.0
44,3,C_T_Q,3,8,152630.62303944014,99.53720821111376,20,14.0
45,3,C_T_S,1,8,256746.42621112315,99.53541256781976,26,14.0
46,3,C_T_S,2,8,250372.3210368848,99.51425081369358,30,14.0
47,3,C_T_S,3,8,234535.14946717705,99.49293827601598,24,14.0
48,3,I,1,6,173352.8716546232,99.39082724567156,38,14.0
49,3,I,2,8,180548.7447320549,99.29733552282966,24,14.0
50,3,I,3,7,158024.46510762323,99.08962580200456,38,14.0
51,3,N,1,8,193268.2617315365,99.44243318908984,24,14.0
52,3,N,2,8,198710.13257419984,99.54143936338,24,14.0
53,3,N,3,8,199582.0099754659,99.4400390011251,22,14.0
54,4,C_F_C,1,12,208685.71365614928,99.42620280510008,24,18.0
55,4,C_F_C,2,7,201687.59677435772,99.55678345462302,36,18.0
56,4,C_F_C,3,7,203523.33815276728,99.41985526633718,32,18.0
57,4,C_F_F,1,10,197320.74893429456,99.5960393137217,24,18.0
58,4,C_F_F,2,10,201094.97294064413,99.6660443996264,22,18.0
59,4,C_F_F,3,9,197420.95776805727,99.40211314453605,24,18.0
60,4,C_T_Q,1,7,160084.53174698446,99.32980088698076,30,18.0
61,4,C_T_Q,2,10,169768.77151164587,99.54928159770246,24,18.0
62,4,C_T_Q,3,6,165911.8359559851,99.71821623452436,34,18.0
63,4,C_T_S,1,9,335509.77525446453,99.47133151740432,26,18.0
64,4,C_T_S,2,16,316794.88271281664,99.29326751240308,26,18.0
65,4,C_T_S,3,7,284356.945901165,99.32350860001311,40,18.0
66,4,I,1,8,151500.84954673116,98.34373890576045,30,18.0
67,4,I,2,7,164181.17470834544,99.03576851332242,38,18.0
68,4,I,3,7,158297.31698781555,99.3063529226997,38,18.0
69,4,N,1,7,202598.45705207824,99.34692907775958,36,18.0
70,4,N,2,11,212454.0955906064,99.6874060194406,28,18.0
71,4,N,3,7,196069.7848510384,99.29606103220443,40,18.0
72,5,C_F_C,1,7,218138.90369585413,97.97373425843298,30,10.0
73,5,C_F_C,2,7,235516.9567054616,99.34279643197804,32,10.0
74,5,C_F_C,3,7,190561.53211123327,99.19619761799778,26,10.0
75,5,C_F_F,2,11,159484.41158464912,99.4936720463652,22,10.0
76,5,C_F_F,3,7,179412.41380876052,99.51748120270874,30,10.0
77,5,C_T_Q,1,7,162042.26660131925,98.97037246886782,24,10.0
78,5,C_T_Q,2,7,154518.466989611,99.21887129233136,28,10.0
79,5,C_T_Q,3,7,149477.70335721824,99.16602951672924,32,10.0
80,5,C_T_S,1,7,182302.4018134537,99.20355642056656,36,10.0
81,5,C_T_S,2,13,182279.935315956,99.35332937969122,26,10.0
82,5,C_T_S,3,8,181555.6348968465,99.42820740651734,30,10.0
83,5,I,1,9,82979.5161299484,95.08356833605718,36,10.0
84,5,I,2,8,102225.77290918583,96.9612065526382,36,10.0
85,5,I,3,10,99009.59173414232,96.32473244215848,36,10.0
86,5,N,1,6,201832.68654245653,99.349058654757,34,10.0
87,5,N,2,7,217496.3658682916,99.2652894150954,30,10.0
88,5,N,3,7,198697.4237452111,99.4951738926222,28,10.0
89,6,C_F_C,1,7,194888.0325658978,99.2159017268039,34,15.0
90,6,C_F_C,3,7,194313.09455319407,99.52936873422072,38,15.0
91,6,C_F_F,2,6,167690.3449716434,99.17413121499403,40,15.0
92,6,C_F_F,3,7,171491.81306123175,99.10932417167548,32,15.0
93,6,C_T_Q,1,7,144178.31067577784,99.34100799497128,32,15.0
94,6,C_T_Q,2,7,148999.67697510202,99.14931177612348,30,15.0
95,6,C_T_Q,3,7,147582.33504571972,99.15843105360376,30,15.0
96,6,C_T_S,1,7,236571.90600144083,99.55797872622736,40,15.0
97,6,C_T_S,2,7,232687.00414893133,99.11012713666648,32,15.0
98,6,C_T_S,3,8,231830.50887885533,99.43929363825112,36,15.0
99,6,I,1,8,126494.91371114722,97.89688376471652,38,15.0
100,6,I,2,7,138762.36569434,98.02226576466664,38,15.0
101,6,I,3,8,143950.9154019436,98.476416957552,34,15.0
102,6,N,1,7,196296.8747262717,99.51562215574975,34,15.0
103,6,N,2,8,193716.79926874847,99.2948184743449,30,15.0
104,6,N,3,7,184060.3847020943,99.38566290262553,36,15.0
105,7,C_F_C,1,7,283176.29395962803,99.25713049622496,32,17.0
106,7,C_F_C,2,7,311114.8371308787,99.53654260364348,36,17.0
107,7,C_F_C,3,14,312361.1396909788,99.51247798412672,24,17.0
108,7,C_F_F,1,14,234165.4905567045,99.66499760659498,26,17.0
109,7,C_F_F,2,7,216666.47169414425,99.43041683815146,34,17.0
110,7,C_F_F,3,9,225335.3703125337,99.42293199574058,24,17.0
111,7,C_T_Q,1,9,173831.8818222663,99.67476054035257,24,17.0
112,7,C_T_Q,2,6,164971.26044598198,99.42842863838172,30,17.0
113,7,C_T_Q,3,9,172964.086548723,99.5528954950257,24,17.0
114,7,C_T_S,1,16,360682.8987286854,98.99258423222048,26,17.0
115,7,C_T_S,2,8,418301.3799643633,99.27442795393424,32,17.0
116,7,C_T_S,3,13,429884.45528081286,99.4437684559372,24,17.0
117,7,I,1,8,171895.83488626056,98.78464078780844,28,17.0
118,7,I,2,8,175058.70453542523,99.04732968965357,24,17.0
119,7,I,3,8,176174.5723253923,99.24841500205498,28,17.0
120,7,N,1,15,226191.22786496347,99.36825983994784,28,17.0
121,7,N,2,7,226868.24443299609,99.4502905764885,36,17.0
122,7,N,3,7,244119.66383597988,99.44772596405768,32,17.0
123,8,C_F_C,1,7,258971.6506302365,98.70973709066337,30,2.0
124,8,C_F_C,2,7,274553.5308093119,98.94817804182816,34,2.0
125,8,C_F_C,3,7,281596.945188815,99.44225813274306,34,2.0
126,8,C_F_F,1,7,213724.8856047953,99.1044865101857,32,2.0
127,8,C_F_F,2,7,212198.4687253873,98.93167635484654,32,2.0
128,8,C_F_F,3,8,207286.95082519267,98.78212559367049,24,2.0
129,8,C_T_Q,1,6,189003.7200686232,99.65426694646897,36,2.0
130,8,C_T_Q,2,4,196673.2807156734,98.81522237921956,40,2.0
131,8,C_T_Q,3,7,190933.02521563583,98.94805673990346,28,2.0
132,8,C_T_S,1,6,278314.3294571499,98.9838511154557,40,2.0
133,8,C_T_S,2,6,265613.46836607833,98.86785340835884,36,2.0
134,8,C_T_S,3,8,300047.89081183186,99.29833301268494,28,2.0
135,8,I,1,8,146430.28341970436,97.73284369141192,34,2.0
136,8,I,2,8,138499.38061253395,97.163269774892,34,2.0
137,8,I,3,7,157777.62003657836,98.92001811572374,40,2.0
138,8,N,1,7,206999.0087788382,99.1774570049704,32,2.0
139,8,N,2,7,215241.174099188,99.4409286027322,32,2.0
140,8,N,3,5,219537.39224442275,99.39426306629088,38,2.0
141,9,C_F_C,1,7,238375.63151969423,99.27177977120614,36,6.0
142,9,C_F_C,2,9,241694.05122789447,99.17014181437422,24,6.0
143,9,C_F_C,3,7,223145.75989379897,98.96489307240284,36,6.0
144,9,C_F_F,2,9,231428.21341039933,99.25032509696796,26,6.0
145,9,C_F_F,3,15,229963.22123376583,99.55134416363326,20,6.0
146,9,C_T_Q,1,8,160623.18165757257,98.9787739519476,26,6.0
147,9,C_T_Q,2,6,180153.41516528823,99.4691191971558,36,6.0
148,9,C_T_Q,3,7,179575.0052245783,99.42735609674634,34,6.0
149,9,C_T_S,1,8,277218.0656415173,98.9188340294264,32,6.0
150,9,C_T_S,2,9,269968.77689393354,98.86920011710517,34,6.0
151,9,C_T_S,3,8,260334.1513307152,98.85880923160131,26,6.0
152,9,I,1,9,116287.58051660242,97.38258444055673,38,6.0
153,9,I,2,7,151117.70027857396,98.73936410810734,32,6.0
154,9,I,3,7,145409.65222454758,99.07773054275438,38,6.0
155,9,N,1,10,216436.5352688922,99.26455059137676,26,6.0
156,9,N,2,7,214869.5122503705,99.38919850678548,36,6.0
157,9,N,3,7,224161.0796250333,99.32347162132469,38,6.0
158,11,C_F_C,1,9,194041.34852077748,99.56117312286064,26,17.0
159,11,C_F_C,2,9,196044.94184556155,99.53471100584294,26,17.0
160,11,C_F_C,3,7,199193.7562658994,99.222579090631,32,17.0
161,11,C_F_F,1,8,186801.2014515387,99.58539046725872,24,17.0
162,11,C_F_F,2,6,179799.81597755998,99.31361466315327,34,17.0
163,11,C_F_F,3,8,164401.49261295472,98.95913668924184,24,17.0
164,11,C_T_Q,1,9,186658.9987253294,99.414378730301,26,17.0
165,11,C_T_Q,2,6,167802.89195368753,99.46803067524948,34,17.0
166,11,C_T_Q,3,4,168290.27569284415,98.95463205333432,40,17.0
167,11,C_T_S,1,8,294311.5041259339,99.24533521003994,32,17.0
168,11,C_T_S,2,7,277805.17794933333,99.13561925275177,36,17.0
169,11,C_T_S,3,7,225547.3863719636,99.13107256092296,36,17.0
170,11,I,1,6,159751.9217785998,99.07414782786404,40,17.0
171,11,N,1,7,204041.0773798772,99.60142550582532,34,17.0
172,11,N,2,9,196328.0648884367,99.21248316874892,24,17.0
173,11,N,3,8,194336.8718524404,99.49561129653998,28,17.0
174,12,C_F_C,1,8,213264.2744015968,99.54729729154116,26,12.0
175,12,C_F_C,2,9,216940.1788142938,99.5215196769801,24,12.0
176,12,C_F_C,3,8,202630.51521544447,99.44773363222951,26,12.0
177,12,C_F_F,1,6,196627.80357758497,99.49900392102204,40,12.0
178,12,C_F_F,2,7,195372.58181356147,99.12421802111416,26,12.0
179,12,C_F_F,3,7,180469.93612210045,99.21346142524608,34,12.0
180,12,C_T_Q,1,9,131297.18448599614,99.53594897216551,20,12.0
181,12,C_T_Q,2,6,138139.43688974396,99.67871092422922,34,12.0
182,12,C_T_Q,3,7,133093.39856689528,99.6488611962792,28,12.0
183,12,C_T_S,1,8,286349.02095646656,99.30024924469132,26,12.0
184,12,C_T_S,2,8,276783.94913976686,99.21142038966448,28,12.0
185,12,C_T_S,3,9,295061.9167488641,99.62353493621818,28,12.0
186,12,I,1,6,155076.10173243773,99.10532684015136,38,12.0
187,12,I,2,7,156755.6959600472,98.97737851712267,30,12.0
188,12,I,3,8,146265.9325532327,99.03504837003976,32,12.0
189,12,N,1,8,190242.89997428653,99.08778144619882,28,12.0
190,12,N,2,7,184664.96870345244,99.34216005984392,30,12.0
191,12,N,3,7,175050.4204390495,99.29203191896308,28,12.0
192,14,C_F_C,1,8,249746.44275931563,99.29740103076396,28,4.0
193,14,C_F_C,2,9,212046.685280158,99.55153511967352,24,4.0
194,14,C_F_C,3,7,208681.23703256453,99.4039440024906,30,4.0
195,14,C_F_F,1,8,203646.67672866947,99.54452184349825,32,4.0
196,14,C_F_F,2,7,193865.0928594749,99.32139178147725,38,4.0
197,14,C_F_F,3,10,199430.57759373164,99.16100219443838,22,4.0
198,14,C_T_Q,1,7,155444.59678497765,99.33512345909324,30,4.0
199,14,C_T_Q,2,10,159600.32498546608,99.51922362786138,20,4.0
200,14,C_T_Q,3,8,161771.51853545007,99.73732730228312,22,4.0
201,14,C_T_S,1,16,281523.40979313606,98.53383680026518,34,4.0
202,14,C_T_S,2,15,294668.1283967647,99.46644244375518,22,4.0
203,14,C_T_S,3,10,285329.1652502462,99.47678643205128,22,4.0
204,14,I,1,7,142506.08397700771,97.43186928153858,36,4.0
205,14,I,2,7,146044.47040523656,98.93495952300027,36,4.0
206,14,I,3,8,152459.10909352748,98.58384204980544,32,4.0
207,14,N,1,8,221124.8345430796,99.31253632506348,30,4.0
208,14,N,2,8,222075.43519085032,99.5828085585656,30,4.0
209,14,N,3,8,216494.6942426922,99.46534999089587,28,4.0
210,15,C_F_C,1,7,264536.2681154959,99.58090103838968,40,16.0
211,15,C_F_C,2,7,264476.4987137704,99.6901999289002,36,16.0
212,15,C_F_C,3,7,281177.1498461949,99.50894137834732,30,16.0
213,15,C_F_F,1,7,176069.4810730155,99.241192514207,40,16.0
214,15,C_F_F,2,8,203772.8487636044,99.64500797952972,36,16.0
215,15,C_F_F,3,9,202000.165136736,99.72214948583026,36,16.0
216,15,C_T_Q,1,7,151984.28972713815,99.57157762657216,30,16.0
217,15,C_T_Q,2,7,146293.77235979872,99.27354194221536,26,16.0
218,15,C_T_Q,3,7,142305.55796361627,99.51037531603536,28,16.0
219,15,C_T_S,1,8,269059.9279713767,99.27497621345196,28,16.0
220,15,C_T_S,2,7,282531.3825711997,99.29727658277788,38,16.0
221,15,I,1,5,178649.93684255786,99.48162148557545,36,16.0
222,15,I,2,9,155970.15292472983,99.35568630840991,30,16.0
223,15,I,3,7,154253.39174083108,98.96646230046764,32,16.0
224,15,N,1,7,205260.4351740053,99.37409898216494,32,16.0
225,15,N,2,7,207402.1810393649,99.3553279480499,30,16.0
226,15,N,3,8,218144.06260428848,99.55183942889477,28,16.0
227,16,C_F_C,1,6,260316.32317699533,99.56415943011416,40,15.0
228,16,C_F_C,2,9,271861.5301156263,99.2021226870669,24,15.0
229,16,C_F_C,3,7,235903.32297600253,99.3589066144385,32,15.0
230,16,C_F_F,1,9,216570.5918176376,99.45358424692398,28,15.0
231,16,C_F_F,2,9,206755.8472353565,99.52509259540632,26,15.0
232,16,C_F_F,3,8,207218.51115034788,99.41248591403206,28,15.0
233,16,C_T_Q,1,6,142274.76339864708,99.15703814711732,32,15.0
234,16,C_T_Q,2,7,145045.29073654205,99.36919400036896,26,15.0
235,16,C_T_Q,3,8,148028.24522740438,99.48220157057528,24,15.0
236,16,C_T_S,1,7,448297.5530076498,99.1688702248734,38,15.0
237,16,C_T_S,2,16,396945.7610918856,99.17058979813432,28,15.0
238,16,C_T_S,3,12,383143.6847785609,99.43746016666908,26,15.0
239,16,I,1,7,148855.3493162781,98.67608092320054,40,15.0
240,16,I,2,7,148374.9398556309,98.82909998925514,40,15.0
241,16,I,3,5,162097.20825575208,98.9931176923682,40,15.0
242,16,N,1,9,221034.7040327656,99.43345160236156,30,15.0
243,16,N,2,9,222728.7943078442,99.25279621072808,24,15.0
244,16,N,3,9,225246.225744566,99.14568737984428,24,15.0
245,17,C_F_C,1,5,212261.5647891808,99.41341026339138,40,15.0
